username,first_name,last_name,email,role,store_code,temp_password,must_change_password,is_active,notes
mgr_lk001,Ramesh,Kumar,mgr_lk001@pantaloons.in,STORE_MANAGER,LK001,Mgr@LK001#2026,TRUE,TRUE,
assoc_lk001_a,Priya,Sharma,assoc_lk001_a@pantaloons.in,STORE_ASSOCIATE,LK001,Assoc@LK001#2026,TRUE,TRUE,
assoc_lk001_b,Suresh,Verma,assoc_lk001_b@pantaloons.in,STORE_ASSOCIATE,LK001,Assoc@LK001#2026,TRUE,TRUE,
mgr_lk002,Kavya,Reddy,mgr_lk002@pantaloons.in,STORE_MANAGER,LK002,Mgr@LK002#2026,TRUE,TRUE,
assoc_lk002_a,Anil,Mehta,assoc_lk002_a@pantaloons.in,STORE_ASSOCIATE,LK002,Assoc@LK002#2026,TRUE,TRUE,
assoc_lk002_b,Sunita,Patel,assoc_lk002_b@pantaloons.in,STORE_ASSOCIATE,LK002,Assoc@LK002#2026,TRUE,TRUE,
mgr_lk003,Vikram,Joshi,mgr_lk003@pantaloons.in,STORE_MANAGER,LK003,Mgr@LK003#2026,TRUE,TRUE,
assoc_lk003_a,Deepa,Nair,assoc_lk003_a@pantaloons.in,STORE_ASSOCIATE,LK003,Assoc@LK003#2026,TRUE,TRUE,
assoc_lk003_b,Rajesh,Iyer,assoc_lk003_b@pantaloons.in,STORE_ASSOCIATE,LK003,Assoc@LK003#2026,TRUE,TRUE,
mgr_lk004,Neha,Desai,mgr_lk004@pantaloons.in,STORE_MANAGER,LK004,Mgr@LK004#2026,TRUE,TRUE,
assoc_lk004_a,Kiran,Rao,assoc_lk004_a@pantaloons.in,STORE_ASSOCIATE,LK004,Assoc@LK004#2026,TRUE,TRUE,
assoc_lk004_b,Meena,Pillai,assoc_lk004_b@pantaloons.in,STORE_ASSOCIATE,LK004,Assoc@LK004#2026,TRUE,TRUE,
mgr_lk005,Arjun,Singh,mgr_lk005@pantaloons.in,STORE_MANAGER,LK005,Mgr@LK005#2026,TRUE,TRUE,
assoc_lk005_a,Pooja,Gupta,assoc_lk005_a@pantaloons.in,STORE_ASSOCIATE,LK005,Assoc@LK005#2026,TRUE,TRUE,
assoc_lk005_b,Ravi,Choudhary,assoc_lk005_b@pantaloons.in,STORE_ASSOCIATE,LK005,Assoc@LK005#2026,TRUE,TRUE,
mgr_lk006,Divya,Menon,mgr_lk006@pantaloons.in,STORE_MANAGER,LK006,Mgr@LK006#2026,TRUE,TRUE,
assoc_lk006_a,Santosh,Kumar,assoc_lk006_a@pantaloons.in,STORE_ASSOCIATE,LK006,Assoc@LK006#2026,TRUE,TRUE,
assoc_lk006_b,Lakshmi,Rajan,assoc_lk006_b@pantaloons.in,STORE_ASSOCIATE,LK006,Assoc@LK006#2026,TRUE,TRUE,
mgr_lk007,Mohan,Krishnan,mgr_lk007@pantaloons.in,STORE_MANAGER,LK007,Mgr@LK007#2026,TRUE,TRUE,
assoc_lk007_a,Geetha,Subramanian,assoc_lk007_a@pantaloons.in,STORE_ASSOCIATE,LK007,Assoc@LK007#2026,TRUE,TRUE,
assoc_lk007_b,Senthil,Murugan,assoc_lk007_b@pantaloons.in,STORE_ASSOCIATE,LK007,Assoc@LK007#2026,TRUE,TRUE,
mgr_lk008,Srikanth,Reddy,mgr_lk008@pantaloons.in,STORE_MANAGER,LK008,Mgr@LK008#2026,TRUE,TRUE,
assoc_lk008_a,Bhavani,Rao,assoc_lk008_a@pantaloons.in,STORE_ASSOCIATE,LK008,Assoc@LK008#2026,TRUE,TRUE,
assoc_lk008_b,Venkat,Naidu,assoc_lk008_b@pantaloons.in,STORE_ASSOCIATE,LK008,Assoc@LK008#2026,TRUE,TRUE,
mgr_lk009,Abhijit,Banerjee,mgr_lk009@pantaloons.in,STORE_MANAGER,LK009,Mgr@LK009#2026,TRUE,TRUE,
assoc_lk009_a,Puja,Das,assoc_lk009_a@pantaloons.in,STORE_ASSOCIATE,LK009,Assoc@LK009#2026,TRUE,TRUE,
assoc_lk009_b,Sourav,Ghosh,assoc_lk009_b@pantaloons.in,STORE_ASSOCIATE,LK009,Assoc@LK009#2026,TRUE,TRUE,
mgr_lk010,Hardik,Shah,mgr_lk010@pantaloons.in,STORE_MANAGER,LK010,Mgr@LK010#2026,TRUE,TRUE,
assoc_lk010_a,Rekha,Patel,assoc_lk010_a@pantaloons.in,STORE_ASSOCIATE,LK010,Assoc@LK010#2026,TRUE,TRUE,
assoc_lk010_b,Chirag,Gandhi,assoc_lk010_b@pantaloons.in,STORE_ASSOCIATE,LK010,Assoc@LK010#2026,TRUE,TRUE,
